[ Logger_Oscar - 2025-09-15 14:07:28 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 5.8889389038086E-5 seconds
[ Logger_Oscar - 2025-09-16 13:51:02 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 14.504187107086 seconds
[ Logger_Oscar - 2025-09-16 13:50:51 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.00010800361633301 seconds
[ Logger_Oscar - 2025-09-16 13:50:52 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 3.2186508178711E-5 seconds
[ Logger_Oscar - 2025-09-16 13:51:00 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.0023360252380371 seconds
[ Logger_Oscar - 2025-09-16 13:51:03 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.00012302398681641 seconds
[ Logger_Oscar - 2025-09-18 06:12:01 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0037000179290771 seconds
[ Logger_Oscar - 2025-09-18 06:16:08 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00015902519226074 seconds
[ Logger_Oscar - 2025-09-18 06:16:09 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 9.4175338745117E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:11 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 8.2015991210938E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:12 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 7.7009201049805E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:12 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 8.6784362792969E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:13 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 6.103515625E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:14 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 8.3208084106445E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:14 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 6.7949295043945E-5 seconds
[ Logger_Oscar - 2025-09-18 06:16:27 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 6.6041946411133E-5 seconds
[ Logger_Oscar - 2025-09-18 06:28:45 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00052189826965332 seconds
[ Logger_Oscar - 2025-09-18 06:35:24 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0021710395812988 seconds
[ Logger_Oscar - 2025-09-18 06:35:31 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00011301040649414 seconds
[ Logger_Oscar - 2025-09-18 06:35:54 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00031399726867676 seconds
[ Logger_Oscar - 2025-09-18 06:35:58 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00018095970153809 seconds
[ Logger_Oscar - 2025-09-18 06:36:00 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 5.9127807617188E-5 seconds
[ Logger_Oscar - 2025-09-18 06:36:03 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 3.3855438232422E-5 seconds
[ Logger_Oscar - 2025-09-18 06:39:04 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00020313262939453 seconds
[ Logger_Oscar - 2025-09-18 06:40:19 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00027608871459961 seconds
[ Logger_Oscar - 2025-09-18 06:42:01 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.002173900604248 seconds
[ Logger_Oscar - 2025-09-18 06:54:00 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0026581287384033 seconds
[ Logger_Oscar - 2025-09-18 06:54:06 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0048439502716064 seconds
[ Logger_Oscar - 2025-09-18 06:54:07 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00011301040649414 seconds
[ Logger_Oscar - 2025-09-18 06:54:32 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0003819465637207 seconds
[ Logger_Oscar - 2025-09-18 06:55:12 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00064587593078613 seconds
[ Logger_Oscar - 2025-09-18 06:55:35 | Category: SUCCESS | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] New user created with ID:  (Res-NeoTech)
[ Logger_Oscar - 2025-09-18 06:55:35 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.38648915290833 seconds
[ Logger_Oscar - 2025-09-18 06:55:36 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.2718608379364 seconds
[ Logger_Oscar - 2025-09-18 06:55:47 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=modules-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.17727303504944 seconds
[ Logger_Oscar - 2025-09-18 06:55:48 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00037121772766113 seconds
[ Logger_Oscar - 2025-09-18 06:55:50 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: -0.32725882530212 seconds
[ Logger_Oscar - 2025-09-18 06:55:52 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0001990795135498 seconds
[ Logger_Oscar - 2025-09-18 06:56:08 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.27831101417542 seconds
[ Logger_Oscar - 2025-09-18 06:56:10 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.17281484603882 seconds
[ Logger_Oscar - 2025-09-18 06:56:13 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00022602081298828 seconds
[ Logger_Oscar - 2025-09-18 06:56:13 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.27550005912781 seconds
[ Logger_Oscar - 2025-09-18 06:56:15 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0002140998840332 seconds
[ Logger_Oscar - 2025-09-18 06:56:19 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 6.5088272094727E-5 seconds
[ Logger_Oscar - 2025-09-18 06:56:29 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.002612829208374 seconds
[ Logger_Oscar - 2025-09-18 06:56:32 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0005650520324707 seconds
[ Logger_Oscar - 2025-09-18 06:57:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0004429817199707 seconds
[ Logger_Oscar - 2025-09-18 06:58:43 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00028681755065918 seconds
[ Logger_Oscar - 2025-09-18 06:58:50 | Category: INFO | URL: http://localhost/astracore/login?login=Res-NeoTech&password=aaa | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00015616416931152 seconds
[ Logger_Oscar - 2025-09-18 06:59:06 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00015401840209961 seconds
[ Logger_Oscar - 2025-09-18 06:59:14 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.33047103881836 seconds
[ Logger_Oscar - 2025-09-18 06:59:20 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.422208070755 seconds
[ Logger_Oscar - 2025-09-18 06:59:20 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.27668285369873 seconds
[ Logger_Oscar - 2025-09-18 06:59:52 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0011579990386963 seconds
[ Logger_Oscar - 2025-09-18 06:59:55 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00010800361633301 seconds
[ Logger_Oscar - 2025-09-18 06:59:59 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.42158389091492 seconds
[ Logger_Oscar - 2025-09-18 06:59:59 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.27046895027161 seconds
[ Logger_Oscar - 2025-09-18 07:00:02 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00026202201843262 seconds
[ Logger_Oscar - 2025-09-18 07:01:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 6.8902969360352E-5 seconds
[ Logger_Oscar - 2025-09-18 07:01:53 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.16571593284607 seconds
[ Logger_Oscar - 2025-09-18 07:02:01 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0002281665802002 seconds
[ Logger_Oscar - 2025-09-18 07:03:48 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0035021305084229 seconds
[ Logger_Oscar - 2025-09-18 07:03:53 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0012190341949463 seconds
[ Logger_Oscar - 2025-09-18 07:03:54 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00058102607727051 seconds
[ Logger_Oscar - 2025-09-18 07:03:57 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.001507043838501 seconds
[ Logger_Oscar - 2025-09-18 07:04:04 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0017211437225342 seconds
[ Logger_Oscar - 2025-09-18 07:04:10 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00029993057250977 seconds
[ Logger_Oscar - 2025-09-18 07:05:54 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0027580261230469 seconds
[ Logger_Oscar - 2025-09-18 07:05:57 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00011992454528809 seconds
[ Logger_Oscar - 2025-09-18 07:06:49 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0005791187286377 seconds
[ Logger_Oscar - 2025-09-18 07:07:04 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00037002563476562 seconds
[ Logger_Oscar - 2025-09-18 07:07:05 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0002140998840332 seconds
[ Logger_Oscar - 2025-09-18 07:07:05 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 8.2969665527344E-5 seconds
[ Logger_Oscar - 2025-09-18 07:07:27 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0011928081512451 seconds
[ Logger_Oscar - 2025-09-18 07:07:28 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00032305717468262 seconds
[ Logger_Oscar - 2025-09-18 07:07:36 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.03043794631958 seconds
[ Logger_Oscar - 2025-09-18 07:07:58 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00064206123352051 seconds
[ Logger_Oscar - 2025-09-18 07:07:59 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00030994415283203 seconds
[ Logger_Oscar - 2025-09-18 07:08:13 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00017499923706055 seconds
[ Logger_Oscar - 2025-09-18 07:10:43 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00083112716674805 seconds
[ Logger_Oscar - 2025-09-18 07:10:44 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00066900253295898 seconds
[ Logger_Oscar - 2025-09-18 07:10:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00065493583679199 seconds
[ Logger_Oscar - 2025-09-18 07:10:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00063705444335938 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0007319450378418 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0006558895111084 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00063395500183105 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00070285797119141 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00090503692626953 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00075101852416992 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00061702728271484 seconds
[ Logger_Oscar - 2025-09-18 07:10:57 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00043010711669922 seconds
[ Logger_Oscar - 2025-09-18 07:13:20 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0010008811950684 seconds
[ Logger_Oscar - 2025-09-18 07:14:33 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0010809898376465 seconds
[ Logger_Oscar - 2025-09-18 07:15:36 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00087594985961914 seconds
[ Logger_Oscar - 2025-09-18 07:15:42 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00098395347595215 seconds
[ Logger_Oscar - 2025-09-18 07:15:47 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00066709518432617 seconds
[ Logger_Oscar - 2025-09-18 07:16:26 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0011270046234131 seconds
